,customer_INN,provider_INN
339,1704,3654
340,1704,3654
341,3205,1645
342,3205,1645
343,3205,1645
344,3205,1645
345,3205,1645
346,3205,1645
347,3205,1645
348,3205,1645
349,3205,1645
350,305,326
351,305,326
352,2833,3067
353,3393,3608
354,2267,3477
355,322,354
356,322,354
357,322,354
358,2226,2225
359,2226,2225
360,2226,2225
361,2226,2225
362,2226,2225
363,2226,2225
364,2226,2225
365,2226,2225
366,2226,2225
367,2226,2225
368,2226,2225
369,2910,2890
370,2910,2890
371,2910,2890
372,2910,2890
373,2910,2890
374,2910,2890
375,2910,2890
376,2910,2890
377,2951,2946
378,2951,2946
379,2951,2946
380,2951,2946
381,2951,2946
382,2951,2946
383,2951,2946
384,2951,2946
385,2951,2946
386,2951,2946
387,2951,2946
388,2951,2946
389,2951,2946
390,2951,2946
391,2951,2946
392,2268,2254
393,2268,2254
394,2673,2675
395,2673,2675
396,2673,2675
397,2673,2675
398,2673,2675
399,2673,2675
400,2673,2675
401,2673,2675
402,2253,2254
403,2253,2254
404,2253,2254
405,302,3515
406,302,3515
407,302,3515
408,302,3515
409,302,3515
410,302,3515
411,302,3515
412,302,3515
413,302,3515
414,302,3515
415,302,3515
416,302,3515
417,302,3515
418,302,3515
419,302,3515
420,302,3515
421,302,3515
422,302,3515
423,302,3515
424,302,3515
425,302,3515
426,302,3515
427,302,3515
428,302,3515
429,302,3515
430,302,3515
431,302,3515
432,302,3515
433,302,3515
434,302,3515
435,302,3515
436,302,3515
437,302,3515
438,302,3515
439,302,3515
440,302,3515
441,302,3515
442,302,3515
443,302,3515
444,302,3515
445,302,3515
446,302,3515
447,302,3515
448,302,3515
449,302,3515
450,302,3515
451,302,3515
452,302,3515
453,302,3515
454,302,3515
455,302,3515
456,302,3515
457,302,3515
458,302,3515
459,302,3515
460,302,3515
461,302,3515
462,302,3515
463,302,3515
464,302,3515
465,302,3515
466,302,3515
467,302,3515
468,302,3515
469,302,3515
470,302,3515
471,302,3515
472,302,3515
473,302,3515
474,302,3515
475,302,3515
476,302,3515
477,302,3515
478,302,3515
479,302,3515
480,302,3515
481,302,3515
482,302,3515
483,302,3515
484,2833,3067
485,1784,1780
486,1784,1780
487,1784,1780
488,1784,1780
489,1784,1780
490,1784,1780
491,703,714
492,305,320
493,305,320
494,305,320
495,305,320
496,305,320
497,305,320
498,107,205
499,107,205
500,2226,2225
501,2226,2225
502,2226,2225
503,3205,1645
504,3205,1645
505,3205,1645
506,3205,1645
507,3205,1645
508,3205,1645
509,3205,1645
510,3205,1645
511,3205,1645
512,3205,1645
513,3205,1645
514,3205,1645
515,3205,1645
516,545,597
517,545,597
518,545,597
519,545,597
520,2833,2112
521,93,86
522,93,86
523,2951,2782
524,1010,1002
525,420,415
526,420,415
527,420,415
528,420,415
529,420,415
530,420,415
531,420,415
532,420,415
533,2913,3671
534,2913,3671
535,2913,3671
536,2913,3671
537,2913,3671
538,2913,3671
539,2913,3671
540,2913,3671
541,2913,3671
